AF3_delta,AF4_delta,F3_delta,F4_delta,F7_delta,F8_delta,FC5_delta,FC6_delta,T7_delta,T8_delta,P7_delta,P8_delta,O1_delta,O2_delta,AF3_theta,AF4_theta,F3_theta,F4_theta,F7_theta,F8_theta,FC5_theta,FC6_theta,T7_theta,T8_theta,P7_theta,P8_theta,O1_theta,O2_theta,AF3_alpha,AF4_alpha,F3_alpha,F4_alpha,F7_alpha,F8_alpha,FC5_alpha,FC6_alpha,T7_alpha,T8_alpha,P7_alpha,P8_alpha,O1_alpha,O2_alpha,AF3_beta,AF4_beta,F3_beta,F4_beta,F7_beta,F8_beta,FC5_beta,FC6_beta,T7_beta,T8_beta,P7_beta,P8_beta,O1_beta,O2_beta,AF3_gamma,AF4_gamma,F3_gamma,F4_gamma,F7_gamma,F8_gamma,FC5_gamma,FC6_gamma,T7_gamma,T8_gamma,P7_gamma,P8_gamma,O1_gamma,O2_gamma
-0.28483736462286224,-0.35168328701097046,-0.38804009506871584,-0.24637539773823103,-0.27268796607955337,0.2271774121080235,-0.32605527677324736,-0.2571952265930685,-0.21297899449227842,-0.7460640433356671,0.3233588777074045,-0.8981881036381717,-0.08463533634018643,-0.7247155263640134,-0.22727712183414708,0.3423567147816608,0.4058680983032425,-0.24125849975775834,-0.22823288818163825,0.7849191056171422,0.16816230487262684,0.3271303550412293,-0.21191203430241337,0.8181693511493818,-0.15239772132945653,-0.18652360375526536,-1.0601501373756665,-0.34167398195791204,-0.2263881911044309,-0.20653339120904404,0.09445638485120178,-0.10166585216125842,-0.2268852666655599,2.4461839590589656,0.4516823182972743,0.16561732165716123,-0.22229608418147875,2.063400413222145,0.07455717377681577,-0.3366229965025093,-0.2919679790979937,-0.6824216005438604,-0.225270925961053,-0.13078591425807465,-0.17399203637647173,-0.11875376151899625,-0.22542906008776664,1.0921612965303655,-0.48940130154722417,-0.019350628259437775,-0.2281316226846191,-0.22549292776066251,-0.41116074305080036,-0.20167300323727916,-0.28318035760863514,-0.00969632457161318,-0.2259298611583804,-0.3686709573170891,-0.16581902643018614,-0.2305095417756432,-0.2254653850551823,-0.18996694826375732,-0.6286658767593586,-0.042662247902536615,-0.22666934490082052,-0.27448696557412566,-0.1915718033245437,0.0392521944077081,-0.3879008271288538,-0.3120935532279412
-0.18067966377554967,3.193823358398545,2.7106816741316107,-1.7033144871363262e-05,-0.2527330680815195,2.0277190668454903,0.8282208717142279,0.6108281015248481,-0.27510147351967507,3.5699431930284837,1.9420793046611573,3.1473639646752662,3.3614381088442107,3.8823882270872208,-0.2292563116648499,0.04905109155817774,-0.17092625371611886,-0.5347423139854144,-0.22977493995235787,2.3491799915094456,0.24112459091108673,0.8721134272479681,-0.2202937562151216,1.4009583031295945,0.35897791295401954,0.22792830106079986,0.7032856730960793,0.07995418208281056,-0.22795696880849425,-0.35690753494820754,-0.23572252592353005,-0.3165976996965903,-0.22845399448985224,1.06282001350767,-0.36719312962416295,-0.030142197618979783,-0.23746267948585356,-0.3536502324666654,0.11933612229238312,-0.12921128446395963,0.6029214994429515,-0.08069311888719675,-0.22589766644318146,-0.15411895282550872,-0.18773653895455508,-0.22039962473535454,-0.22564523024725316,-0.03018462597963844,-0.41859888004745893,-0.2212336997344458,-0.22365894901192868,-0.2175744025644266,-0.09015769775636127,-0.03997378653500592,-0.367028553428627,-0.08383859923577375,-0.2255538340544664,-0.2782684928972685,-0.28933113772876423,-0.24914060509282268,-0.2255612090778138,0.39593161802443205,-0.031180140480763927,-0.11271693954402245,-0.22897340477465578,-0.26671294367460197,-0.2671527907622317,-0.361726934521629,-0.3013794997427631,-0.2505222946149397
-0.26109328873972715,-0.9864724959562826,-0.12506385574645232,-0.9122417731543911,-0.2592898269871924,-0.2159389856452015,-0.4793201550495343,-0.39541286070843973,-0.2765551697364128,-0.5012712200735431,-0.44373614788130505,-0.7215547093102236,-0.8986112765309466,-0.4312738740601802,-0.22881535902243413,-0.7541556525371996,-0.5393347049960947,-0.6239602382739515,-0.2286897612539638,-0.4851307323027649,-0.5381456350515891,-0.4222169232064343,-0.23028379929622736,-0.7652477245056025,-0.3940949420160268,-1.0370486408813864,-0.11572384196015781,-0.7449714849539044,-0.2263765321754237,-0.23714534292457418,-0.13651442870957786,-0.30790397093291066,-0.22660266032745816,-0.5984754852479456,-0.6447025488039103,-0.33972691237072306,-0.22964143955204555,-0.661560411015513,-0.4285146423722507,-0.23309407357790696,-0.26839132827318385,-0.3127437275078819,-0.22559108137271447,-0.305770352126292,-0.2417565201093432,-0.22021310537914532,-0.22568022122620074,0.18400858540974493,-0.11761023527490963,-0.3144258375606611,-0.22561870144766158,-0.24678005446115026,-0.2989510805713528,-0.2549406812475555,-0.29258521167025203,-0.25280079206494466,-0.22527306526492766,-0.12002943832219082,-0.291988065426358,-0.32863955594757926,-0.22537284317359124,-0.7590606880873548,-0.0215477056736081,-0.3154861633559983,-0.22801412753834527,-0.23784982368310867,-0.3146412925446657,-0.2232996443521722,-0.3086995015584631,-0.14860116444738783
-0.2940017398033934,-0.35228631240872976,-0.8242363051298963,-0.8341158502059624,-0.2752482402134723,1.5543167885305866,0.009710552785849381,0.9785648951319939,-0.2958028469059871,-0.3899164419531801,-0.023476184323140876,-0.6417149244950738,-0.4551303500867954,-0.537970384456179,-0.2321753546985752,-0.4127416969680403,-0.763677690027621,-0.12747249920277992,-0.231461260149131,-0.25398173606352326,-0.5576495239809655,-0.11428259384547347,-0.2550045094596617,-0.9728442831421579,-0.63832875862698,-0.8176051320132858,-0.31357127869085893,-0.5761864469316863,-0.2269448503767396,-0.17321155019148374,-0.23892579778059986,-0.35773884561922586,-0.22623046586139103,0.0316911187110022,-0.46197817078901615,-0.22089961913837586,-0.23302314463606813,-0.8286478186612666,-0.6742910654007869,-0.3373083306891826,-0.5194751733307333,0.11209993073498338,-0.22547808609147368,-0.289801246453117,-0.21185435618567605,-0.19769683770589927,-0.22562988419569782,0.551571507848811,-0.3604820657045205,-0.24885184083318748,-0.2227429974790688,-0.28421176287145933,-0.26978400044588025,-0.1978914967405622,-0.2812859727755625,-0.20354612746789083,-0.2259567903121399,-0.11457624159450103,-0.27172145835421896,-0.22292612454100252,-0.22577178552797977,-1.554174795005647,-0.6523573865633461,-0.48494210636761076,-0.22879605093779667,-0.2520872891151014,-0.16931661890501246,-0.26643355236538746,-0.21982239353185784,-0.14796598600399546
-0.2727833775823895,-0.296253538665489,-0.8838301734719727,-1.1196511009804737,-0.2604220998050325,0.6477064763803905,-0.34998190097759746,2.3811182126490382,-0.257720568396226,0.3532082693077485,-0.297010634198251,-0.8366957541790943,-0.38772970179121763,-0.6394513447377781,-0.23283908102397766,-0.3264765532762308,-0.560156223892638,-0.2134032082765594,-0.2268184692404532,1.3123422659757746,-0.43574845927286016,0.13529816553127064,-0.21073668156060285,0.46596514208537193,1.1407553608329575,-0.8826774209415703,0.20808993993516037,0.2213624242320604,-0.2260417280498582,-0.21141643952465958,-0.2396428091594264,-0.16952064954904572,-0.22040094406684704,0.013746972553394191,0.6012075955416226,-0.3071074157246913,-0.18812809633330244,0.4814869523944695,0.6557260782367994,0.05793631434827403,0.1296166444629756,0.9832072099870051,-0.226108551741079,-0.23311212427760342,-0.28523580077083366,-0.2674326041428275,-0.2248054682100666,0.5336818572898613,-0.3619163814557604,-0.2559248666999328,-0.22127265862484088,-0.2507867548112879,-0.08129309360000318,-0.2473374056796346,-0.05929338738385091,-0.22071364615579855,-0.22627114294133874,-0.2637406551908784,-0.1260844757300846,-0.19290215595251148,-0.22524006539568556,-1.3156201443696416,-0.8067148929475894,-0.04022373103076684,-0.22361489987441951,-0.2529432753928998,-0.2572593742859112,-0.35376435883723734,-0.18582198389108415,-0.29525371141253903
-0.13052813467749078,0.13891448938059106,-0.2819068881396498,0.06049747289988738,-0.13941257364068185,-1.5630676845914793,-0.6058726912100866,-0.8010055685778885,-0.1449757607963207,0.219325259626309,-0.5512049320335911,0.2511069506964585,-1.0840558366265292,-0.3820061809806424,-0.22938495820712532,0.02784018686417546,-0.6089117953154544,0.007042537083300274,-0.22611705059109377,-0.04758960203173969,-0.5032862389493867,-0.7423499030041938,-0.2061170023508357,-0.716201796184101,1.2057195210979674,1.101753803029293,0.3140144702234883,-1.125877202925717,-0.2226436404512343,0.17963854884819874,-0.22479010667863505,-0.1321013257949387,-0.22336115332510784,-0.47172315576401774,-0.7293322790955205,-0.2851104218792494,-0.2210257735703353,-0.4212083428031385,-0.1702021118008147,-0.0332989804640136,-0.44828253121637984,0.01200040670359911,-0.2255291327485484,-0.2637904840838199,-0.2481347251157604,-0.2811769095331936,-0.22478067464958582,0.25665302373307236,0.10205869997132525,-0.21580011863012385,-0.22557884695293054,-0.13180165417718162,-0.2870205874714745,-0.13093742861522054,-0.19849168541030837,-0.18326640850694628,-0.22521578943916667,-0.22353427765484937,-0.19295570810605814,-0.16610758186571917,-0.22489979699190824,1.5780249221440672,-0.3551065127760738,-0.2902472787605142,-0.22552118408431387,-0.22111977469101454,-0.22379178564332844,-0.3057542151680627,0.0432851455632276,-0.1753577453225268
0.005408933012633134,-0.027973417937021648,0.004361014163796049,2.352954550525776,-0.041440344489697446,0.3341686615290266,0.16144775041943202,-0.151471291384624,-0.06663449552864989,0.4459828136131146,-0.6294781901123309,-0.08605797151083279,-0.7772167227568744,-0.5718429978888478,-0.2143815194958624,0.028322483716697208,0.07021481857833561,-0.09119635699920992,-0.2098491560970078,0.30727831893013835,-0.6438348914278332,-0.18613194832449184,-0.21602791331593243,0.38703279135598245,-0.4604768280575158,-0.5158992452033077,0.5549038388494535,0.19090333531219197,-0.21605025030967434,0.0014907729619593356,-0.3027873173340112,-0.22870878378922335,-0.22059578142310002,0.1893083365091265,-0.26888971957750196,-0.31332355289933783,-0.22138931753881413,-0.7812814298272991,-0.3622488088527558,-0.3222417458727011,-0.28594805545922064,-0.09933375176267825,-0.2236776414082392,-0.29166890461109457,-0.29373183659665886,-0.28246755731368967,-0.224593854737647,-0.023103189068639913,0.289921914048766,-0.18650245267148538,-0.22417755140152376,-0.13723412653595032,-0.2838354489186032,-0.21868799581770473,-0.23422216551655123,-0.26349107665342814,-0.22474850679287167,-0.22708641480087927,-0.27884104659366776,-0.22689114131965035,-0.22527085928003537,-0.48811319738161757,0.8415144666212908,-0.30159750810653785,-0.22256388737655955,-0.1830635664123941,-0.27769581648139796,-0.3611078794879251,-0.40284175914894654,-0.19024876511734873
-0.24880620435636092,-0.3044479010582594,-0.41870229520953095,-0.5797723164844856,-0.23705679848436254,0.24435618808051573,-0.4830699282839177,0.01778029927291087,-0.1848372432864052,0.6375469891940612,0.04691575129881471,-0.18071278489973286,-0.4318769507543649,-0.010134083220134753,-0.22509895559871168,-0.8091380856039602,-0.8287071299099505,-0.5449205130701447,-0.22871149987007003,0.6503770633330965,0.3914572104719468,-0.11671349217728466,-0.23008617869792117,0.552851816412259,-0.4361335912077307,0.5378031577889526,0.001924260044739804,-0.925368040994764,-0.22801972445778707,-0.3534792668636082,-0.24348316489023203,-0.35156631966993407,-0.2278932116381314,0.17953619657085787,-1.0241780163947514,-0.3603729709262031,-0.2272240581962554,-0.7810875548465399,-0.49852520568287007,-0.5477723019122784,-0.49838531951733384,-0.8517253108093419,-0.2255941749772333,-0.1210393265589122,-0.2285026993055897,-0.24017946954902658,-0.2258494453087877,0.24523827547331598,-0.4412233215307819,-0.2532133459673982,-0.22915529890710962,-0.30638829990301053,-0.29527732481727187,-0.2471702643839145,-0.19622925891517626,-0.2525382687340345,-0.226579233597112,-0.32805918588293154,-0.2705756226668087,-0.12241891295966575,-0.2261630154007379,0.006219819882723507,-0.11208719909024548,-0.15148918058974387,-0.22189243558151084,-0.2906479720339314,-0.0109742193450526,-0.2878416316378964,-0.12297715385789029,-0.22000346341557123
-0.271784033377839,0.35008630434648874,0.9097380298758863,0.06834606377537693,-0.2603705149045425,0.7363379943805941,0.3334826862040078,0.23542184571634056,-0.17175823003644494,0.48206706098541263,0.47309329080464657,-0.8619255926563404,-0.00684278964041677,0.47606909321248125,-0.23061378492548465,-0.2880479112585657,-0.21508238798966672,-0.06228039261914912,-0.2316479614143115,0.6356577222715868,0.037519103355075356,0.20014527495094367,-0.24460766770747996,-0.057040832831755726,-0.6115795719311273,-0.7816790088187564,-0.5665924226034504,-0.5915441907029486,-0.22679465895258902,-0.17356392676326143,-0.12937469548182468,-0.3937616155436644,-0.22691369038311995,0.5882480733040342,0.31647763738612034,0.10594986303386372,-0.23053607996426972,-0.8386323255653952,-0.6950862745259337,-0.41156308129873964,-0.32168190513195105,-0.3504482436736204,-0.22580361805113314,-0.19218968094968103,-0.25359066397386715,-0.2750274129201281,-0.22574030557945604,0.41564171627483937,-0.398509215561921,-0.05668479141032346,-0.22696765292933604,-0.1787405579595146,-0.2161720367972183,-0.29050889275042646,-0.2105372878817082,-0.24567399009533925,-0.22654758831859387,-0.31598447240373456,-0.07073354292901934,-0.2113335051528133,-0.2256153355245016,-0.13609065361312628,-0.2869455894196014,-0.37594901232325917,-0.22699446540250298,-0.11108370403518303,-0.347691202366242,-0.19121568805810676,-0.2845124059200784,-0.3518654683613095
-0.21807602367227014,-0.17081827391562054,1.5020569010248708,-0.004957722494212457,-0.23855223356271027,1.161921013099932,0.07828120840792087,0.088285386725912,-0.30574613115844285,1.014707468244747,0.18079735161834004,-0.07041760778941261,0.11643480127564562,-0.1972619847700946,-0.2226024060289539,0.22653354911707757,0.7553431239221745,-0.10008033765821864,-0.22865738309046613,0.49283039643562454,0.1230187129825492,0.6105690938563575,-0.2280020810502815,0.5948376155848406,-0.3464221285168376,0.2886623875188608,-0.6148071982764534,1.2374366887159907,-0.2277212651804643,-0.23771158282891502,-0.4346139085472571,-0.20613117894251193,-0.22808915298521437,-0.9969663970383446,-0.9485449339631438,-0.33758903045169747,-0.2370117049035295,-0.39394802993088956,-0.21909108944302852,-0.4415142809952432,-0.47948654276601455,-0.7522902906249149,-0.22616524765240906,-0.2744123474528826,-0.22023664808043517,-0.1971889241916682,-0.22507488065170392,-0.026740412711985746,-0.47566921621648806,-0.16727782898314505,-0.22218147395902632,-0.26837458316229773,-0.06607517253507939,-0.19192010225610945,-0.16532977410074437,-0.3939746455997372,-0.2261330995383004,-0.2423781300141971,-0.32698748159782665,-0.3396413367449048,-0.226314078942543,-1.2193928143442108,-0.5761238923058652,-0.46737451406615244,-0.22533460192739438,-0.21475093379709637,-0.17491032144044838,-0.1866014677767236,-0.32033491137561904,-0.2315275326221052
